app_no,admission_fees_amount,admission_fees_status,admission_fees_paid_date,admission_fees_uploaded_by,admission_fees_upload_date_time,tution_fees_amount,tution_fees_status,tution_fees_paid_date,tution_fees_uploaded_by,tution_fees_upload_date_time
APP00513,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00514,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00515,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00516,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00517,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00518,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00519,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00520,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00521,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00522,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00523,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00524,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00525,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00526,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00527,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00528,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00529,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00530,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00531,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00532,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00533,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00534,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00535,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00536,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
APP00537,1234567,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00,7654321,1,2025-01-09 9:00:00,Pilani Admin,2025-01-09 9:00:00
