Fees_Paid_Iteration_1 (3)
app_no,admission_fees_amount,admission_fees_status,admission_fees_paid_date,admission_fees_uploaded_by,admission_fees_upload_date_time,tution_fees_amount,tution_fees_status,tution_fees_paid_date,tution_fees_uploaded_by,tution_fees_upload_date_time
APP00001,1234567,0,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,0,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
APP00002,1234567,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
APP00003,1234567,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
APP00004,1234567,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
APP00005,1234567,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
APP00006,1234567,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
APP00007,1234567,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
APP00008,1234567,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
APP00009,1234567,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
APP00010,1234567,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
APP00011,1234567,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
APP00012,1234567,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
APP00013,1234567,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
APP00014,1234567,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
APP00015,1234567,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
APP00016,1234567,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
APP00017,1234567,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
APP00018,1234567,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00,7654321,1,2025-01-02 9:00:00,Pilani Admin,2025-01-02 9:00:00
